,Cv,OP,dP,F
121,111.11111111111111,0.2222222222222222,2.0,34.91885339192827
122,111.11111111111111,0.2222222222222222,3.0,42.76668660663894
123,111.11111111111111,0.2222222222222222,4.0,49.382716049382715
124,111.11111111111111,0.2222222222222222,5.0,55.21155499999481
125,111.11111111111111,0.2222222222222222,6.0,60.48122821686859
126,111.11111111111111,0.2222222222222222,7.0,65.32719286579236
127,111.11111111111111,0.2222222222222222,8.0,69.83770678385655
128,111.11111111111111,0.2222222222222222,9.0,74.07407407407408
129,111.11111111111111,0.2222222222222222,10.0,78.08092988070072
130,111.11111111111111,0.3333333333333333,1.0,37.03703703703704
131,111.11111111111111,0.3333333333333333,2.0,52.37828008789241
132,111.11111111111111,0.3333333333333333,3.0,64.15002990995842
133,111.11111111111111,0.3333333333333333,4.0,74.07407407407408
134,111.11111111111111,0.3333333333333333,5.0,82.81733249999222
135,111.11111111111111,0.3333333333333333,6.0,90.72184232530289
136,111.11111111111111,0.3333333333333333,7.0,97.99078929868855
137,111.11111111111111,0.3333333333333333,8.0,104.75656017578483
138,111.11111111111111,0.3333333333333333,9.0,111.11111111111111
139,111.11111111111111,0.3333333333333333,10.0,117.1213948210511
140,111.11111111111111,0.4444444444444444,1.0,49.382716049382715
141,111.11111111111111,0.4444444444444444,2.0,69.83770678385655
142,111.11111111111111,0.4444444444444444,3.0,85.53337321327788
143,111.11111111111111,0.4444444444444444,4.0,98.76543209876543
144,111.11111111111111,0.4444444444444444,5.0,110.42310999998962
145,111.11111111111111,0.4444444444444444,6.0,120.96245643373717
146,111.11111111111111,0.4444444444444444,7.0,130.6543857315847
147,111.11111111111111,0.4444444444444444,8.0,139.6754135677131
148,111.11111111111111,0.4444444444444444,9.0,148.14814814814815
149,111.11111111111111,0.4444444444444444,10.0,156.16185976140144
150,111.11111111111111,0.5555555555555556,1.0,61.7283950617284
151,111.11111111111111,0.5555555555555556,2.0,87.29713347982069
152,111.11111111111111,0.5555555555555556,3.0,106.91671651659736
153,111.11111111111111,0.5555555555555556,4.0,123.4567901234568
154,111.11111111111111,0.5555555555555556,5.0,138.02888749998704
155,111.11111111111111,0.5555555555555556,6.0,151.20307054217147
156,111.11111111111111,0.5555555555555556,7.0,163.31798216448092
157,111.11111111111111,0.5555555555555556,8.0,174.59426695964137
158,111.11111111111111,0.5555555555555556,9.0,185.1851851851852
159,111.11111111111111,0.5555555555555556,10.0,195.20232470175185
160,111.11111111111111,0.6666666666666666,1.0,74.07407407407408
161,111.11111111111111,0.6666666666666666,2.0,104.75656017578483
162,111.11111111111111,0.6666666666666666,3.0,128.30005981991684
163,111.11111111111111,0.6666666666666666,4.0,148.14814814814815
164,111.11111111111111,0.6666666666666666,5.0,165.63466499998444
165,111.11111111111111,0.6666666666666666,6.0,181.44368465060577
166,111.11111111111111,0.6666666666666666,7.0,195.9815785973771
